   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 450,         49779,           49335,          78008,      3402,        3402,       5999
 451,         50229,           49784,          78514,      3402,        3402,       5001
 452,         50238,           49792,          88930,      3426,        3426,       9992
 453,         50362,           49915,          99413,      3427,        3427,       7026
 454,         50539,           50091,          77535,      3426,        3426,       5000
 455,         50705,           50256,          82685,      3445,        3445,       9022
 456,         51056,           50606,          91579,      3462,        3462,       4999
 457,         51376,           50925,          86524,      3465,        3465,       6018
 458,         51488,           51036,         117501,      3471,        3471,       6000
 459,              ,                ,               ,      3476,        3476,       5001
 460,              ,                ,               ,      3507,        3507,       6999
 461,              ,                ,               ,      3513,        3513,       6167
 462,              ,                ,               ,      3506,        3506,       6986
 463,              ,                ,               ,      3521,        3521,       7997
 464,              ,                ,               ,      3528,        3528,       7004
 465,              ,                ,               ,      3535,        3535,       5995
 466,              ,                ,               ,      3537,        3537,       6016
 467,              ,                ,               ,      3549,        3549,       5985
 468,              ,                ,               ,      3559,        3559,       5000
 469,              ,                ,               ,      3562,        3562,       6000
 470,              ,                ,               ,      3584,        3584,       6000
 471,              ,                ,               ,      3585,        3585,       8000
 472,              ,                ,               ,      3613,        3613,      10000
 473,              ,                ,               ,      3618,        3618,      10000
 474,              ,                ,               ,      3601,        3601,       8000
 475,              ,                ,               ,      3624,        3624,       5506
 476,              ,                ,               ,      3633,        3633,       6001
 477,              ,                ,               ,      3640,        3640,       5999
 478,              ,                ,               ,      3658,        3658,       4999
 479,              ,                ,               ,      3679,        3679,       6615
 480,              ,                ,               ,      3671,        3671,       6415
 481,              ,                ,               ,      3678,        3678,       5579
 482,              ,                ,               ,      3693,        3693,       6240
 483,              ,                ,               ,      3706,        3706,       7798
 484,              ,                ,               ,      3693,        3693,       8532
 485,              ,                ,               ,      3702,        3702,       5250
 486,              ,                ,               ,      3721,        3721,       8104
 487,              ,                ,               ,      3737,        3737,       6995
 488,              ,                ,               ,      3733,        3733,       8009
 489,              ,                ,               ,      3745,        3745,       9186
 490,              ,                ,               ,      3749,        3749,       9996
 491,              ,                ,               ,      3774,        3774,       8011
 492,              ,                ,               ,      3774,        3774,       7999
 493,              ,                ,               ,      3781,        3781,       5999
 494,              ,                ,               ,      3788,        3788,       8016
 495,              ,                ,               ,      3808,        3808,       5000
 496,              ,                ,               ,      3811,        3811,       7230
 497,              ,                ,               ,      3820,        3820,       6268
 498,              ,                ,               ,      3832,        3832,       6000
 499,              ,                ,               ,      3841,        3841,       7001
 500,              ,                ,               ,      3855,        3855,       6986
 501,              ,                ,               ,      3863,        3863,       7006
 502,              ,                ,               ,      3858,        3858,       6009
 503,              ,                ,               ,      3868,        3868,       5510
 504,              ,                ,               ,      3903,        3903,       6001
 505,              ,                ,               ,      3906,        3906,       7000
 506,              ,                ,               ,      3910,        3910,       7020
 507,              ,                ,               ,      3905,        3905,       5996
 508,              ,                ,               ,      3924,        3924,       6000
 509,              ,                ,               ,      3928,        3928,       6833
 510,              ,                ,               ,      3939,        3939,       6016
 511,              ,                ,               ,      3935,        3935,       6012
 512,              ,                ,               ,      3957,        3957,       6985
 513,              ,                ,               ,      3967,        3967,       7336
 514,              ,                ,               ,      3979,        3979,       6998
 515,              ,                ,               ,      3997,        3997,       5999
 516,              ,                ,               ,      3991,        3991,       7016
 517,              ,                ,               ,      4008,        4008,       5984
 518,              ,                ,               ,      4018,        4018,       6509
 519,              ,                ,               ,      4024,        4024,       6016
 520,              ,                ,               ,      4015,        4015,       6000
 521,              ,                ,               ,      4028,        4028,       7000
 522,              ,                ,               ,      4042,        4042,       7000
 523,              ,                ,               ,      4058,        4058,       6000
 524,              ,                ,               ,      4070,        4070,       6000
 525,              ,                ,               ,      4086,        4086,       5999
 526,              ,                ,               ,      4087,        4087,      10023
 527,              ,                ,               ,      4100,        4100,      10980
 528,              ,                ,               ,      4103,        4103,      11006
 529,              ,                ,               ,      4116,        4116,      10995
 530,              ,                ,               ,      4132,        4132,      10513
 531,              ,                ,               ,      4132,        4132,      11017
 532,              ,                ,               ,      4135,        4135,      10000
 533,              ,                ,               ,      4146,        4146,      11000
 534,              ,                ,               ,      4160,        4160,      11001
 535,              ,                ,               ,      4176,        4176,      10905
 536,              ,                ,               ,      4162,        4162,       8992
 537,              ,                ,               ,      4173,        4173,       6000
 538,              ,                ,               ,      4179,        4179,       7016
 539,              ,                ,               ,      4204,        4204,       6999
 540,              ,                ,               ,      4225,        4225,       6539
 541,              ,                ,               ,      4236,        4236,       7000
